id,good_ingredients,bad_ingredients
1,"['glycerin', 'sodium hyaluronate', 'allantoin', 'linoleic acid', 'oleic acid', 'tocopherol']",[]
2,"['glycerin', 'niacinamide', 'tocopherol', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
3,"['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'glycerin', 'ethylhexyl glycerin']",[]
4,"['glycerin', 'allantoin']",[]
5,"['glycerin', 'sodium hyaluronate']",[]
6,"['glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate', 'tocopherol']",[]
7,"['glycerin', 'niacinamide', 'sodium hyaluronate']",[]
8,"['glycerin', 'sodium hyaluronate', 'allantoin', 'linoleic acid', 'oleic acid', 'tocopherol']",[]
9,"['glycerin', 'niacinamide', 'sodium hyaluronate']",[]
10,"['glycerin', 'sodium hyaluronate']",[]
11,"['glycerin', 'sodium hyaluronate']",[]
12,"['glycerin', 'sodium hyaluronate']",[]
13,"['glycerin', 'allantoin']",[]
14,"['glycerin', 'titanium dioxide']",[]
15,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
16,"['glycerin', 'allantoin']",[]
17,['glycerin'],[]
18,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
19,[],[]
20,"['glycerin', 'allantoin', 'panthenol']",[]
21,"['glycerin', 'sodium hyaluronate']",[]
22,[],['propylene glycol']
23,"['glycerin', 'tocopherol']",['propylene glycol']
24,"['glycerin', 'ethylhexyl glycerin']",[]
25,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
26,"['glycerin', 'niacinamide']",[]
27,"['titanium dioxide', 'tocopherol']",['propylene glycol']
28,['glycerin'],[]
29,"['glycerin', 'linoleic acid', 'sodium hyaluronate', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer']",['dipropylene glycol']
30,[],['propylene glycol']
31,"['glycerin', 'tocopherol', 'ethylhexyl glycerin']",['propylene glycol']
32,['glycerin'],[]
33,"['glycerin', 'niacinamide', 'allantoin', 'tocopherol']",[]
34,['sodium hyaluronate'],['dipropylene glycol']
35,"['glycerin', 'tocopherol']",['dipropylene glycol']
36,"['glycerin', 'sodium hyaluronate']",[]
37,['tocopherol'],['propylene glycol']
38,"['glycerin', 'ethylhexyl glycerin']",[]
39,['glycerin'],[]
40,[],[]
41,"['glycerin', 'niacinamide', 'tocopherol']",[]
42,"['titanium dioxide', 'zinc oxide', 'ethylhexyl glycerin', 'sodium hyaluronate', 'titanium dioxide']",[]
43,"['glycerin', 'linoleic acid', 'sodium hyaluronate', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer']",['dipropylene glycol']
44,['glycerin'],['dipropylene glycol']
45,[],[]
46,"['glycerin', 'niacinamide', 'linoleic acid', 'tocopherol', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
47,['tocopherol'],[]
48,"['glycerin', 'sodium hyaluronate', 'titanium dioxide']",['propylene glycol']
49,"['glycerin', 'niacinamide']",[]
50,"['glycerin', 'tocopherol']",[]
51,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
52,"['glycerin', 'sodium hyaluronate']",[]
53,['glycerin'],['propylene glycol']
54,['glycerin'],[]
55,"['glycerin', 'sodium hyaluronate']",[]
56,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
57,['glycerin'],[]
58,"['glycerin', 'tocopherol']",[]
59,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
60,"['glycerin', 'tocopherol', 'sodium hyaluronate']",[]
61,['glycerin'],"['propylene glycol', 'propylene glycol isostearate']"
62,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
63,[],[]
64,"['glycerin', 'niacinamide']",[]
65,['glycerin'],[]
66,"['glycerin', 'panthenol', 'sodium hyaluronate', 'tocopherol']",[]
67,['glycerin'],[]
68,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
69,"['glycerin', 'tocopherol', 'ethylhexyl glycerin']",['propylene glycol']
70,"['glycerin', 'allantoin', 'panthenol']",['methylisothiazolinone']
71,"['glycerin', 'sodium hyaluronate', 'glycerin', 'titanium dioxide']",[]
72,"['glycerin', 'panthenol']",[]
73,"['glycerin', 'ethylhexyl glycerin']",[]
74,"['glycerin', 'sodium hyaluronate', 'panthenol', 'hydrolyzed sodium hyaluronate']",['dipropylene glycol']
75,[],[]
76,"['glycerin', 'tocopherol']",[]
77,"['glycerin', 'niacinamide', 'panthenol', 'ethylhexyl glycerin', 'tocopherol']",[]
78,"['glycerin', 'tocopherol', 'ethylhexyl glycerin']",[]
79,"['glycerin', 'ethylhexyl glycerin']",[]
80,"['glycerin', 'sodium hyaluronate', 'linoleic acid']",[]
81,"['glycerin', 'sodium hyaluronate']",[]
82,"['glycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'tocopherol']",[]
83,"['glycerin', 'sodium hyaluronate', 'linoleic acid', 'panthenol', 'allantoin', 'ethylhexyl glycerin']",[]
84,"['glycerin', 'linoleic acid', 'sodium hyaluronate', 'titanium dioxide']",[]
85,"['glycerin', 'panthenol', 'tocopherol', 'ethylhexyl glycerin']",[]
86,"['glycerin', 'tocopherol']",['propylene glycol']
87,['glycerin'],[]
88,"['titanium dioxide', 'zinc oxide', 'glycerin', 'sodium hyaluronate', 'titanium dioxide']",['propylene glycol dicoco-caprylate']
89,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
90,"['sodium hyaluronate', 'panthenol', 'allantoin']",[]
91,"['glycerin', 'allantoin', 'ethylhexyl glycerin', 'sodium hyaluronate', 'tocopherol']",[]
92,"['tocopherol', 'glycerin']",[]
93,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
94,"['glycerin', 'tocopherol']",[]
95,"['glycerin', 'niacinamide', 'titanium dioxide', 'panthenol', 'ethylhexyl glycerin', 'tocopherol']",[]
96,"['glycerin', 'ethylhexyl glycerin', 'titanium dioxide']",[]
97,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
98,"['glycerin', 'tocopherol']",[]
99,"['glycerin', 'niacinamide', 'titanium dioxide', 'panthenol', 'ethylhexyl glycerin', 'sodium hyaluronate', 'tocopherol']",[]
100,"['glycerin', 'tocopherol']",[]
101,"['glycerin', 'panthenol', 'tocopherol']",[]
102,"['glycerin', 'tocopherol']",[]
103,"['glycerin', 'sodium hyaluronate', 'linoleic acid', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'ethylhexyl glycerin']",['propylene glycol dicoco-caprylate']
104,"['glycerin', 'capryloyl glycerin/sebacic acid copolymer', 'tocopherol', 'hydrolyzed sodium hyaluronate']",[]
105,"['glycerin', 'capryloyl glycerin/sebacic acid copolymer', 'tocopherol', 'ethylhexyl glycerin']",[]
106,"['sodium hyaluronate', 'allantoin', 'glycerin', 'yeast amino acids', 'ethylhexyl glycerin']",[]
107,"['glycerin', 'sodium hyaluronate']",['propylene glycol dicoco-caprylate']
108,"['glycerin', 'allantoin', 'tocopherol']",[]
109,['glycerin'],[]
110,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
111,"['glycerin', 'ethylhexyl glycerin', 'tocopherol']",[]
112,['glycerin'],[]
113,"['glycerin', 'allantoin']",[]
114,"['glycerin', 'niacinamide', 'tocopherol']",['dipropylene glycol']
115,"['glycerin', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'linoleic acid', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
116,[],[]
117,"['glycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'allantoin', 'ethylhexyl glycerin']",[]
118,[],[]
119,[],[]
120,"['ethylhexyl glycerin', 'sodium hyaluronate']",[]
121,"['ethylhexyl glycerin', 'sodium hyaluronate']",[]
122,"['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'glycerin', 'ethylhexyl glycerin']",[]
123,['glycerin'],[]
124,['glycerin'],[]
125,"['peg/ppg/polybutylene glycol-8/5/3 glycerin', 'glycerin', 'sodium hyaluronate']",[]
126,"['glycerin', 'sodium hyaluronate', 'hydrolyzed sodium hyaluronate', 'tocopherol']",['propylene glycol']
127,"['glycerin', 'ethylhexyl glycerin']",['propylene glycol']
128,['sodium hyaluronate'],['propylene glycol dicoco-caprylate']
